#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P00533	uniprotkb:P00533	intact:EBI-297353|uniprotkb:Q9BZS2|uniprotkb:Q9GZX1|uniprotkb:Q9H2C9|uniprotkb:Q9H3C9|uniprotkb:Q9UMD7|uniprotkb:Q9UMD8|uniprotkb:Q9UMG5|uniprotkb:O00688|uniprotkb:O00732|uniprotkb:P06268|uniprotkb:Q14225|uniprotkb:Q92795|uniprotkb:Q68GS5|dip:DIP-405N	intact:EBI-297353|uniprotkb:Q9BZS2|uniprotkb:Q9GZX1|uniprotkb:Q9H2C9|uniprotkb:Q9H3C9|uniprotkb:Q9UMD7|uniprotkb:Q9UMD8|uniprotkb:Q9UMG5|uniprotkb:O00688|uniprotkb:O00732|uniprotkb:P06268|uniprotkb:Q14225|uniprotkb:Q92795|uniprotkb:Q68GS5|dip:DIP-405N	psi-mi:egfr_human(display_long)|uniprotkb:ERBB1(gene name synonym)|uniprotkb:EGFR(gene name)|psi-mi:EGFR(display_short)|uniprotkb:Receptor tyrosine-protein kinase erbB-1(gene name synonym)|uniprotkb:Proto-oncogene c-ErbB-1(gene name synonym)|uniprotkb:ERBB(gene name synonym)|uniprotkb:HER1(gene name synonym)	psi-mi:egfr_human(display_long)|uniprotkb:ERBB1(gene name synonym)|uniprotkb:EGFR(gene name)|psi-mi:EGFR(display_short)|uniprotkb:Receptor tyrosine-protein kinase erbB-1(gene name synonym)|uniprotkb:Proto-oncogene c-ErbB-1(gene name synonym)|uniprotkb:ERBB(gene name synonym)|uniprotkb:HER1(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Gajadhar et al. (2010)	imex:IM-22070|pubmed:20359299	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9119805|imex:IM-22070-1	intact-miscore:0.98
uniprotkb:Q03135	uniprotkb:P14598	intact:EBI-603614|uniprotkb:Q9UGP1|uniprotkb:Q9UNG1|uniprotkb:Q9UQH6|dip:DIP-5960N	intact:EBI-395044|uniprotkb:A6NEH2|uniprotkb:A8K7S9|uniprotkb:O43842|uniprotkb:Q2PP07|uniprotkb:Q9BU90|uniprotkb:Q9BXI7|uniprotkb:Q9BXI8|uniprotkb:Q9UDV9|uniprotkb:Q9UMU2|uniprotkb:Q53FR5	psi-mi:cav1_human(display_long)|uniprotkb:CAV1(gene name)|psi-mi:CAV1(display_short)|uniprotkb:CAV(gene name synonym)	psi-mi:ncf1_human(display_long)|uniprotkb:NCF1(gene name)|psi-mi:NCF1(display_short)|uniprotkb:Neutrophil NADPH oxidase factor 1(gene name synonym)|uniprotkb:47 kDa neutrophil oxidase factor(gene name synonym)|uniprotkb:p47-phox(gene name synonym)|uniprotkb:NCF-47K(gene name synonym)|uniprotkb:47 kDa autosomal chronic granulomatous disease protein(gene name synonym)|uniprotkb:Nox-organizing protein 2(gene name synonym)|uniprotkb:Nox organizer 2(gene name synonym)|uniprotkb:SH3 and PX domain-containing protein 1A(gene name synonym)|uniprotkb:NOXO2(gene name synonym)|uniprotkb:SH3PXD1A(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Lobysheva et al. (2011)	pubmed:21659644|imex:IM-22182	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9118173|imex:IM-22182-1	intact-miscore:0.40
uniprotkb:P49817	uniprotkb:Q09014	intact:EBI-1161338|uniprotkb:Q8C1X7|uniprotkb:Q8CBP4|uniprotkb:Q9QYH3|uniprotkb:Q9QYH4	intact:EBI-645700|uniprotkb:Q3UE58|uniprotkb:O70144|uniprotkb:Q9JI34	psi-mi:cav1_mouse(display_long)|uniprotkb:Cav1(gene name)|psi-mi:Cav1(display_short)|uniprotkb:Cav(gene name synonym)	psi-mi:ncf1_mouse(display_long)|uniprotkb:Neutrophil NADPH oxidase factor 1(gene name synonym)|uniprotkb:47 kDa neutrophil oxidase factor(gene name synonym)|uniprotkb:p47-phox(gene name synonym)|uniprotkb:NCF-47K(gene name synonym)|uniprotkb:Ncf1(gene name)|psi-mi:Ncf1(display_short)	psi-mi:"MI:0813"(proximity ligation assay)	Lobysheva et al. (2011)	pubmed:21659644|imex:IM-22182	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9118198|imex:IM-22182-2	intact-miscore:0.40
uniprotkb:Q99104	uniprotkb:Q9Z0J4	intact:EBI-400199|uniprotkb:E9PUE5	intact:EBI-397596|uniprotkb:Q64208|uniprotkb:Q3UR10	psi-mi:myo5a_mouse(display_long)|uniprotkb:Myo5a(gene name)|psi-mi:Myo5a(display_short)|uniprotkb:Dilute(gene name synonym)|uniprotkb:Dilute myosin heavy chain, non-muscle(gene name synonym)	psi-mi:nos1_mouse(display_long)|uniprotkb:Nos1(gene name)|psi-mi:Nos1(display_short)|uniprotkb:bNOS(gene name synonym)|uniprotkb:NOS type I(gene name synonym)|uniprotkb:Neuronal NOS(gene name synonym)|uniprotkb:Constitutive NOS(gene name synonym)|uniprotkb:NC-NOS(gene name synonym)|uniprotkb:Peptidyl-cysteine S-nitrosylase NOS1(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Chaudhury et al. (2011)	imex:IM-22065|pubmed:21680773	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9118952|imex:IM-22065-2	intact-miscore:0.46
uniprotkb:Q92793	uniprotkb:P04637	intact:EBI-81215|uniprotkb:O00147|uniprotkb:Q16376|dip:DIP-952N|uniprotkb:D3DUC9|uniprotkb:Q4LE28	intact:EBI-366083|uniprotkb:Q15086|uniprotkb:Q15087|uniprotkb:Q15088|uniprotkb:Q16535|uniprotkb:Q16807|uniprotkb:Q16808|uniprotkb:Q16809|uniprotkb:Q16810|uniprotkb:Q16811|uniprotkb:Q16848|uniprotkb:Q86UG1|uniprotkb:Q8J016|uniprotkb:Q99659|uniprotkb:Q9BTM4|uniprotkb:Q9HAQ8|uniprotkb:Q9NP68|uniprotkb:Q9NPJ2|uniprotkb:Q9NZD0|uniprotkb:Q9UBI2|uniprotkb:Q9UQ61|dip:DIP-368N|uniprotkb:Q2XN98|uniprotkb:Q3LRW1|uniprotkb:Q3LRW2|uniprotkb:Q3LRW3|uniprotkb:Q3LRW4|uniprotkb:Q3LRW5	psi-mi:cbp_human(display_long)|uniprotkb:CREBBP(gene name)|psi-mi:CREBBP(display_short)|uniprotkb:CBP(gene name synonym)	psi-mi:p53_human(display_long)|uniprotkb:TP53(gene name)|psi-mi:TP53(display_short)|uniprotkb:P53(gene name synonym)|uniprotkb:Tumor suppressor p53(gene name synonym)|uniprotkb:Phosphoprotein p53(gene name synonym)|uniprotkb:Antigen NY-CO-13(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Hsu et al. (2014)	pubmed:25314079|imex:IM-23554	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-10040659|imex:IM-23554-25	intact-miscore:0.91
uniprotkb:O95863	uniprotkb:Q92793	intact:EBI-1045459|uniprotkb:Q9P113|uniprotkb:Q9UBP7|uniprotkb:Q9UHH7|uniprotkb:B2R842	intact:EBI-81215|uniprotkb:O00147|uniprotkb:Q16376|dip:DIP-952N|uniprotkb:D3DUC9|uniprotkb:Q4LE28	psi-mi:snai1_human(display_long)|uniprotkb:Protein snail homolog 1(gene name synonym)|uniprotkb:SNAI1(gene name)|psi-mi:SNAI1(display_short)|uniprotkb:SNAH(gene name synonym)	psi-mi:cbp_human(display_long)|uniprotkb:CREBBP(gene name)|psi-mi:CREBBP(display_short)|uniprotkb:CBP(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Hsu et al. (2014)	pubmed:25314079|imex:IM-23554	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-10040663|imex:IM-23554-26	intact-miscore:0.56
uniprotkb:Q6RVA9	uniprotkb:P30555	intact:EBI-10042432|uniprotkb:Q0PHA2|uniprotkb:Q2QLE1	intact:EBI-10042398	psi-mi:cav1_pig(display_long)|uniprotkb:CAV1(gene name)|psi-mi:CAV1(display_short)	psi-mi:agtr1_pig(display_long)|uniprotkb:AGTR1(gene name)|psi-mi:AGTR1(display_short)|uniprotkb:Angiotensin II type-1 receptor(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Adebiyi et al. (2014)	pubmed:24662198|imex:IM-23562	taxid:9823(pig)|taxid:9823("Sus scrofa (Pig)")	taxid:9823(pig)|taxid:9823("Sus scrofa (Pig)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-10042531|imex:IM-23562-2	intact-miscore:0.46
uniprotkb:P10204	uniprotkb:P10221	intact:EBI-7906325|intact:MINT-6741267	intact:EBI-6880600	psi-mi:ul20_hhv11(display_long)|uniprotkb:UL20(gene name)|psi-mi:UL20(display_short)	psi-mi:itp_hhv11(display_long)|uniprotkb:UL37(gene name)|psi-mi:UL37(display_short)|uniprotkb:Viral deamidase UL37(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Charles et al. (2014)	pubmed:24760889|imex:IM-23564	taxid:10299(hhv11)|taxid:10299("Human herpesvirus 1 (strain 17) (HHV-1)")	taxid:10299(hhv11)|taxid:10299("Human herpesvirus 1 (strain 17) (HHV-1)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-10042677|imex:IM-23564-1	intact-miscore:0.40
uniprotkb:P10204	uniprotkb:P68331	intact:EBI-7906325|intact:MINT-6741267	intact:EBI-7906305|uniprotkb:B9VQI2|uniprotkb:P10237|intact:MINT-6741258|uniprotkb:Q09I81	psi-mi:ul20_hhv11(display_long)|uniprotkb:UL20(gene name)|psi-mi:UL20(display_short)	psi-mi:gk_hhv11(display_long)|uniprotkb:UL53(orf name)|uniprotkb:gK(gene name)|psi-mi:gK(display_short)|uniprotkb:Syncytial protein(gene name synonym)	psi-mi:"MI:0813"(proximity ligation assay)	Charles et al. (2014)	pubmed:24760889|imex:IM-23564	taxid:10299(hhv11)|taxid:10299("Human herpesvirus 1 (strain 17) (HHV-1)")	taxid:10299(hhv11)|taxid:10299("Human herpesvirus 1 (strain 17) (HHV-1)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-10042721|imex:IM-23564-2	intact-miscore:0.69
uniprotkb:P04545	uniprotkb:P0DOE7	intact:EBI-10042927|uniprotkb:Q77YA8	intact:EBI-10042882|uniprotkb:P03419|uniprotkb:Q77YB3	psi-mi:m21_hrsva(display_long)|uniprotkb:M2-1(gene name)|psi-mi:M2-1(display_short)|uniprotkb:Envelope-associated 22 kDa protein(gene name synonym)	psi-mi:matrx_hrsva(display_long)|uniprotkb:M(gene name)|psi-mi:M(display_short)	psi-mi:"MI:0813"(proximity ligation assay)	Kiss et al. (2014)	imex:IM-23567|pubmed:24760890	taxid:11259(hrsva)|taxid:11259(human respiratory sy)	taxid:11259(hrsva)|taxid:11259(human respiratory sy)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-10042945|imex:IM-23567-3	intact-miscore:0.62
uniprotkb:P0DOE7	uniprotkb:P03420	intact:EBI-10042882|uniprotkb:P03419|uniprotkb:Q77YB3	intact:EBI-10042897|uniprotkb:P88811	psi-mi:matrx_hrsva(display_long)|uniprotkb:M(gene name)|psi-mi:M(display_short)	psi-mi:fus_hrsva(display_long)|uniprotkb:F(gene name)|psi-mi:F(display_short)	psi-mi:"MI:0813"(proximity ligation assay)	Kiss et al. (2014)	imex:IM-23567|pubmed:24760890	taxid:11259(hrsva)|taxid:11259(human respiratory sy)	taxid:11259(hrsva)|taxid:11259(human respiratory sy)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-10042870|imex:IM-23567-1	intact-miscore:0.46
